City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Ohafia,5.6167,7.8333,76.48,90,99,7.02,NG,1634141379
Midland,31.9974,-102.0779,65.07,21,1,8.05,US,1634141300
Acapulco de Juárez,16.8634,-99.8901,87.62,70,20,0.0,MX,1634141380
Araouane,18.9048,-3.5265,102.43,6,1,8.93,ML,1634141380
Ayan,56.45,138.1667,33.4,37,100,10.49,RU,1634141380
Ibirubá,-28.6275,-53.0897,77.97,60,100,13.69,BR,1634141381
Pacifica,37.6138,-122.4869,58.82,84,75,1.99,US,1634141353
Rafsanjān,30.4067,55.9939,72.28,12,0,4.61,IR,1634141353
Sumbe,-11.2061,13.8437,77.31,76,26,9.35,AO,1634141381
Fukuechō,32.6881,128.8419,74.57,83,18,19.91,JP,1634141381
Trincomalee,8.5711,81.2335,82.06,75,65,17.6,LK,1634141382
Deniliquin,-35.5333,144.9667,44.24,96,51,3.38,AU,1634141382
Moyo,3.6609,31.7247,67.55,86,100,2.75,UG,1634141382
Kurumkan,54.3,110.3,30.31,67,85,5.37,RU,1634141383
Salta,-24.7859,-65.4117,90.57,37,0,1.99,AR,1634141383
Fort-Shevchenko,44.5086,50.263,63.32,27,60,23.73,KZ,1634141383
Northam,51.0333,-4.2167,62.73,86,84,5.26,GB,1634141384
Praia da Vitória,38.7333,-27.0667,69.76,90,74,15.35,PT,1634141384
Phagwāra,31.2178,75.7694,76.71,39,0,6.24,IN,1634141384
Half Moon Bay,37.4636,-122.4286,58.98,72,40,0.0,US,1634141334
Mursalimkino,55.0379,58.5585,45.52,74,17,2.15,RU,1634141385
Piaçabuçu,-10.4056,-36.4344,85.1,61,3,15.46,BR,1634141385
Kysyl-Syr,63.8986,122.7617,17.1,99,95,2.19,RU,1634141385
Loreto,22.2667,-101.9667,68.25,51,100,16.8,MX,1634141386
Pilar,-9.5972,-35.9567,87.73,46,5,14.74,BR,1634141386
Sørland,67.667,12.6934,39.27,59,79,4.0,NO,1634141386
Waipawa,-41.4122,175.5153,44.02,74,100,17.45,NZ,1634141386
Ellisras,-23.6649,27.7443,86.58,11,0,6.46,ZA,1634141387
Skibbereen,51.55,-9.2667,57.0,80,57,6.51,IE,1634141387
Ariquemes,-9.9133,-63.0408,92.26,47,85,6.58,BR,1634141387
Varadero,23.1536,-81.2514,86.76,66,0,8.05,CU,1634141388
Mairana,-18.1167,-63.9333,79.83,44,100,11.83,BO,1634141388
San Ramon,37.7799,-121.978,57.51,69,75,1.01,US,1634141264
Korla,41.7597,86.1469,51.4,35,0,9.6,CN,1634141306
Pacific Grove,36.6177,-121.9166,57.42,75,75,3.0,US,1634141389
Udachny,66.4167,112.4,16.38,96,100,6.6,RU,1634141389
Goma,-1.6792,29.2228,68.72,74,87,2.89,CD,1634141389
Batemans Bay,-35.7167,150.1833,61.99,97,99,9.69,AU,1634141390
Constantine,36.365,6.6147,62.58,52,63,16.58,DZ,1634141217
Mama,58.3106,112.8986,20.46,91,100,1.57,RU,1634141390
Baiyin,36.5583,104.2081,47.23,36,100,7.31,CN,1634141390
Zhangaözen,43.3,52.8,58.82,20,72,23.04,KZ,1634141391
Saint Anthony,45.0205,-93.218,59.95,88,90,5.01,US,1634141391
Esim,4.8699,-2.2405,83.16,74,50,8.77,GH,1634141391
Herzberg,51.6869,13.2202,52.16,62,20,4.61,DE,1634141392
Dolores,-36.3132,-57.6792,64.17,80,100,5.23,AR,1634141392
Barillas,15.8036,-91.3158,79.14,51,94,3.78,GT,1634141392
Bam,29.106,58.357,71.73,9,0,1.92,IR,1634141393
Jambi City,-1.6,103.6167,75.58,95,86,3.24,ID,1634141393
Zhangjiakou Shi Xuanhua Qu,40.6103,115.0447,57.47,69,100,7.56,CN,1634141393
Dunedin,-45.8742,170.5036,45.81,74,99,5.01,NZ,1634141342
Brooks,50.5834,-111.8851,32.04,80,4,10.56,CA,1634141295
Kayamkulam,9.1833,76.5,78.82,83,84,3.58,IN,1634141394
Westport,41.1415,-73.3579,72.19,83,90,4.0,US,1634141394
Shīeli,44.1667,66.75,55.13,24,0,18.9,KZ,1634141395
Henderson,36.0397,-114.9819,58.24,32,1,10.36,US,1634140676
Irtyshskiy,58.3333,68.1333,42.28,91,30,4.41,RU,1634141395
Los Llanos de Aridane,28.6585,-17.9182,71.35,80,40,10.36,ES,1634141228
Rawson,-43.3002,-65.1023,67.15,35,68,1.54,AR,1634141396
Itarema,-2.9248,-39.9167,87.75,52,70,19.3,BR,1634141396
Dubbo,-32.25,148.6167,57.33,94,4,12.66,AU,1634141396
Viedma,-40.8135,-62.9967,81.48,28,0,13.0,AR,1634141308
Khor,47.8861,134.9464,48.22,62,100,6.87,RU,1634141397
Nassau,40.7507,-73.5829,71.78,70,90,1.01,US,1634141397
Pandrup,57.2215,9.6757,48.94,81,90,8.05,DK,1634141397
Juneau,58.3019,-134.4197,44.6,93,90,4.0,US,1634141199
Nur-Sultan,51.1801,71.446,42.75,75,0,4.47,KZ,1634141398
Euclides da Cunha,-10.5075,-39.0158,96.42,23,4,8.34,BR,1634141398
Gēdo,9.0167,37.45,53.92,85,71,2.33,ET,1634141398
Dovbysh,50.3733,27.9874,44.08,67,100,6.44,UA,1634141399
Mocajuba,-2.5842,-49.5072,96.24,39,35,4.81,BR,1634141399
Tilichiki,60.4667,166.1,24.3,67,100,9.06,RU,1634141399
Bulgan,48.8125,103.5347,34.16,52,29,4.99,MN,1634141400
Smidovich,48.6,133.8167,48.58,71,100,9.22,RU,1634141400
Woodward,36.4337,-99.3904,61.97,57,1,8.05,US,1634141401
Ubinskoye,55.3068,79.6802,35.33,99,100,5.3,RU,1634141401
Superior,46.7208,-92.1041,61.48,92,90,6.91,US,1634141402
Katherine,-14.4667,132.2667,80.92,74,83,5.75,AU,1634141403
Ol'ga,43.7444,135.2892,44.19,88,87,3.91,RU,1634141404
Kharagauli,42.0214,43.1977,59.36,54,16,4.72,GE,1634141404
Portree,57.4129,-6.1942,53.85,93,100,12.95,GB,1634141405
Grindavik,63.8424,-22.4338,43.27,75,20,25.32,IS,1634141173
Roald,62.5833,6.1333,48.34,87,75,14.97,NO,1634141406
Praia,14.9215,-23.5087,84.74,58,75,16.11,CV,1634141261
Ringebu,61.5167,10.1667,40.03,67,100,5.26,NO,1634141407
Moose Factory,51.2585,-80.6094,46.35,92,100,8.99,CA,1634141407
Maun,-19.9833,23.4167,87.73,6,0,6.24,BW,1634141407
Marfino,55.7028,37.3822,53.94,68,0,6.71,RU,1634141408
Rantepao,-2.9701,119.8978,67.68,97,72,2.59,ID,1634141409
Wajir,1.7471,40.0573,86.34,43,96,14.52,KE,1634141409
Alta Floresta,-9.8756,-56.0861,99.07,30,15,5.53,BR,1634141302
Tabas,33.5959,56.9244,70.97,9,2,3.51,IR,1634141409
Ostrovnoy,68.0531,39.5131,41.31,80,80,4.09,RU,1634141410
Sweetwater,25.7634,-80.3731,90.01,64,75,3.0,US,1634141410
Zyryanka,65.75,150.85,18.93,93,100,15.08,RU,1634141411
Livingston,55.9029,-3.5226,57.38,86,40,16.11,GB,1634141230
Koumac,-20.5667,164.2833,70.68,88,34,9.6,NC,1634141351
Sarlat-la-Canéda,44.889,1.2166,65.53,48,76,7.61,FR,1634141411
Solnechnyy,50.7214,136.6319,44.82,76,100,4.56,RU,1634141411
Tombouctou,20.0,-3.0,102.51,6,5,7.11,ML,1634141412
Starosubkhangulovo,53.1031,57.4423,44.64,71,14,2.73,RU,1634141412
Sitka,57.0531,-135.33,46.29,81,90,16.11,US,1634141121
Berlevåg,70.8578,29.0864,37.35,81,40,19.57,NO,1634141413
Toyooka,35.5333,134.8333,64.8,89,93,2.39,JP,1634141413
Fortuna,40.5982,-124.1573,50.86,70,90,4.0,US,1634141413
Riberalta,-10.9833,-66.1,100.51,32,26,6.55,BO,1634141414
Benguela,-12.5763,13.4055,77.29,73,18,8.43,AO,1634141414
Grand Gaube,-20.0064,57.6608,74.37,82,81,3.0,MU,1634141309
Oistins,13.0667,-59.5333,89.69,66,40,20.71,BB,1634141414
Batasan,12.7667,120.7833,80.82,79,100,2.73,PH,1634141415
San Juan Bautista Tuxtla,18.1,-96.1167,85.62,75,19,3.04,MX,1634141195
Mana,5.6592,-53.7767,88.88,57,72,10.33,GF,1634141415
Flinders,-34.5833,150.8552,65.21,89,100,1.99,AU,1634141226
Nogales,31.3086,-110.9422,58.71,32,1,0.0,MX,1634141415
Kaeo,-35.1,173.7833,47.32,86,0,6.06,NZ,1634141343
San Andrés,12.5847,-81.7006,86.02,74,40,8.05,CO,1634141416
Vanimo,-2.6741,141.3028,78.13,90,98,3.06,PG,1634141360
Hollins,37.3413,-79.9431,79.59,69,20,8.05,US,1634141416
Dingle,10.9995,122.6711,76.17,87,100,2.75,PH,1634141416
Santa Cruz de la Sierra,-17.8,-63.1667,89.06,55,75,31.07,BO,1634141255
Casma,-41.0082,-73.1244,51.4,99,100,7.27,CL,1634141417
Linxia Chengguanzhen,35.6003,103.2064,46.35,35,100,5.06,CN,1634141417
Coos Bay,43.3665,-124.2179,48.31,97,90,6.91,US,1634141418
Caucayá,-0.1934,-74.7819,92.21,48,41,2.17,CO,1634141418
Kyrylivka,46.3759,35.3675,58.46,93,95,7.11,UA,1634141418
Piteå,65.3172,21.4794,35.69,77,41,5.35,SE,1634141419
Trud,42.2333,24.7333,56.19,69,100,3.18,BG,1634141419
Thunder Bay,48.4001,-89.3168,60.3,86,94,8.23,CA,1634141419
Mūl,20.0667,79.6667,75.79,70,66,5.46,IN,1634141349
Sambava,-14.2667,50.1667,75.02,85,98,9.95,MG,1634141420
Omutninsk,58.67,52.1932,46.04,73,97,8.95,RU,1634141420
Havre-St-Pierre,50.2334,-63.5986,50.58,90,100,7.52,CA,1634141420
Mandalgovi,45.7625,106.2708,38.19,34,77,1.99,MN,1634141421
Bilma,18.6853,12.9164,96.04,9,69,6.85,NE,1634141421
Gorontalo,0.5412,123.0595,76.77,96,81,2.55,ID,1634141357
Zhicheng,30.2956,111.5047,66.18,64,100,6.49,CN,1634141421
Kathu,7.9178,98.3332,84.69,95,99,18.43,TH,1634141422
Pochutla,15.7432,-96.4661,90.82,61,76,3.13,MX,1634141422
Khandyga,62.6667,135.6,17.24,91,93,1.77,RU,1634141422
Sterling,39.0062,-77.4286,73.26,83,75,7.0,US,1634141369
Neiafu,-18.65,-173.9833,65.08,94,20,0.0,TO,1634141423
Paamiut,61.994,-49.6678,38.12,81,9,1.88,GL,1634141423
Ossora,59.2353,163.0719,31.75,75,69,6.31,RU,1634141423
Sabha,27.0377,14.4283,78.6,20,0,6.31,LY,1634141424
Somerset East,-32.7217,25.588,88.81,9,99,15.37,ZA,1634141424
Pushkino,56.0172,37.8667,54.09,78,100,6.4,RU,1634141424
Koshki,54.2091,50.4677,49.03,53,75,10.16,RU,1634141425
Jiexiu,37.0244,111.9125,59.05,72,39,6.93,CN,1634141425
Pontes e Lacerda,-15.2261,-59.3353,102.33,27,84,9.82,BR,1634141425
Dobryanka,58.4619,56.4165,49.86,83,98,5.08,RU,1634141425
Hobyo,5.3505,48.5268,79.23,81,100,21.63,SO,1634141426
Marsá Maţrūḩ,31.3525,27.2453,75.15,72,9,10.65,EG,1634141426
San Rafael,-34.6177,-68.3301,72.25,23,0,8.57,AR,1634141350
Erzin,36.9559,36.2,75.92,68,78,2.04,TR,1634141427
Emba,48.8264,58.1442,47.23,26,3,10.36,KZ,1634141356
Caravelas,-17.7125,-39.2481,76.91,81,90,5.55,BR,1634141427
Kathmandu,27.7167,85.3167,70.02,88,20,2.3,NP,1634141197
Baculin,7.4525,126.5842,80.46,84,100,4.74,PH,1634141427
Gladstone,-23.85,151.25,73.33,83,90,9.22,AU,1634141428
Tonj,7.2737,28.6822,72.46,92,100,3.91,SS,1634141428
Tynda,55.1667,124.7167,23.49,50,100,12.28,RU,1634141428
Thinadhoo,0.5333,72.9333,83.12,76,44,17.63,MV,1634141429
Al'met'yevsk,54.9044,52.3154,48.9,57,99,6.38,RU,1634141429
Brownsville,25.9018,-97.4975,88.92,75,75,5.99,US,1634141310
Ahmadpur Sial,30.6754,71.7483,82.27,16,0,4.18,PK,1634141429
Luwuk,-0.9516,122.7875,78.69,84,74,2.46,ID,1634141430
Saint-Pierre,-21.3393,55.4781,74.88,85,75,5.75,RE,1634141430
Storm Lake,42.6411,-95.2097,58.69,100,75,16.11,US,1634141430
Ayna,-12.65,-73.9167,79.12,50,86,6.11,PE,1634141431
High Level,58.5169,-117.136,38.21,64,30,6.58,CA,1634141318
Fare,-16.7,-151.0167,80.31,77,100,15.93,PF,1634141431
Constitución,-35.3333,-72.4167,58.33,69,92,6.73,CL,1634141431
Warri,5.5167,5.75,80.53,83,92,6.93,NG,1634141432
Kralendijk,12.15,-68.2667,89.58,70,40,13.8,BQ,1634141432
Porto-Novo,6.4965,2.6036,85.39,69,61,10.49,BJ,1634141432
Gander,48.9682,-54.5906,42.93,93,90,18.01,CA,1634141433
Port-Cartier,50.0334,-66.8654,53.74,93,99,6.78,CA,1634141433
Bodh Gaya,24.7,84.9833,76.91,71,4,3.15,IN,1634141433
Morwa,22.9,73.8333,82.98,48,8,3.76,IN,1634141434
Yokadouma,3.5167,15.05,81.57,67,100,2.59,CM,1634141434
São José da Coroa Grande,-8.8978,-35.1478,82.35,64,86,11.41,BR,1634141434
Kholodnyy,62.7167,147.95,12.52,97,99,2.39,RU,1634141435
Urucará,-2.5364,-57.76,104.92,26,22,0.81,BR,1634141435
Muros,42.7762,-9.0603,82.69,51,0,1.79,ES,1634141435
Bani Walid,31.7566,13.9942,82.42,22,22,9.15,LY,1634141358
Cap Malheureux,-19.9842,57.6142,74.46,82,81,1.99,MU,1634141436
Inírida,3.8653,-67.9239,90.0,61,40,0.83,CO,1634141436
Tucumcari,35.1717,-103.725,55.24,33,1,14.97,US,1634141436
Moerai,-22.4333,-151.3333,77.54,84,99,21.14,PF,1634141347
Porto Santo,33.072,-16.3415,75.11,60,20,9.22,PT,1634141437
Norsup,-16.0667,167.3833,78.3,85,80,5.86,VU,1634141437
Grants Pass,42.439,-123.3284,47.71,92,90,1.01,US,1634141437
Severodvinsk,64.5635,39.8302,42.91,93,100,7.52,RU,1634141438
Chongwe,-15.3292,28.682,79.14,17,0,9.15,ZM,1634141438
Yerbogachën,61.2767,108.0108,20.5,68,100,3.29,RU,1634141438
